SimTime,NodeID,OldState,NewState
956609,node-2,WAITING_VALIDATE_HASH,VALIDATE_HASH
956709,node-3,WAITING_VALIDATE_HASH,VALIDATE_HASH
956738,node-4,WAITING_VALIDATE_HASH,VALIDATE_HASH
956738,node-4,VALIDATE_HASH,COMPLETED
956781,node-1,VALIDATE_HASH,COMPLETED
956781,node-2,VALIDATE_HASH,COMPLETED
956781,node-3,VALIDATE_HASH,COMPLETED
1006881,node-1,COMPLETED,WAITING
1006981,node-2,COMPLETED,WAITING
1007081,node-3,COMPLETED,WAITING
1007138,node-4,COMPLETED,WAITING
1056981,node-1,WAITING,INITIATED
1057181,node-2,WAITING,INITIATED
1057381,node-3,WAITING,INITIATED
1057410,node-4,WAITING,INITIATED
1057410,node-4,INITIATED,WAITING_VALIDATE_SUBMISSIONS
1057453,node-2,INITIATED,WAITING_VALIDATE_SUBMISSIONS
1057453,node-3,INITIATED,WAITING_VALIDATE_SUBMISSIONS
1057453,node-1,INITIATED,WAITING_VALIDATE_SUBMISSIONS
1107553,node-1,WAITING_VALIDATE_SUBMISSIONS,VALIDATE_SUBMISSIONS
1107653,node-2,WAITING_VALIDATE_SUBMISSIONS,VALIDATE_SUBMISSIONS
1107753,node-3,WAITING_VALIDATE_SUBMISSIONS,VALIDATE_SUBMISSIONS
1107782,node-4,WAITING_VALIDATE_SUBMISSIONS,VALIDATE_SUBMISSIONS
1107782,node-4,VALIDATE_SUBMISSIONS,WAITING_VALIDATE_HASH
1107825,node-1,VALIDATE_SUBMISSIONS,WAITING_VALIDATE_HASH
1107825,node-2,VALIDATE_SUBMISSIONS,WAITING_VALIDATE_HASH
1107825,node-3,VALIDATE_SUBMISSIONS,WAITING_VALIDATE_HASH
1157925,node-1,WAITING_VALIDATE_HASH,VALIDATE_HASH
1158025,node-2,WAITING_VALIDATE_HASH,VALIDATE_HASH
1158125,node-3,WAITING_VALIDATE_HASH,VALIDATE_HASH
1158154,node-4,WAITING_VALIDATE_HASH,VALIDATE_HASH
1158154,node-4,VALIDATE_HASH,COMPLETED
1158197,node-1,VALIDATE_HASH,COMPLETED
1158197,node-2,VALIDATE_HASH,COMPLETED
1158197,node-3,VALIDATE_HASH,COMPLETED
1208297,node-1,COMPLETED,WAITING
1208397,node-2,COMPLETED,WAITING
1208497,node-3,COMPLETED,WAITING
1208554,node-4,COMPLETED,WAITING
1258397,node-1,WAITING,INITIATED
1258597,node-2,WAITING,INITIATED
1258797,node-3,WAITING,INITIATED
1258826,node-4,WAITING,INITIATED
